nct_id,brief_title,classification,is_rare
NCT06114888,Optimizing Care for Children Hospitalized With Community-acquired Pneumonia: Novel Diagnostics,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is community-acquired pneumonia, which is a relatively common condition and not considered a rare disease. The brief summary indicates that children are commonly hospitalized due to community-acquired pneumonia, suggesting that it is not a rare condition.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that this clinical trial is for a rare disease as defined by the criteria provided.",False
NCT06125340,Optimizing Care for Children Hospitalized With Community-acquired Pneumonia: Short-course Therapy,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this trial is community-acquired pneumonia (CAP), which is a common and well-studied condition. According to the information provided, children are commonly hospitalized due to CAP, indicating that it is not a rare disease.

## Confidence Level
High

## Rare Disease Indicators
There are no indicators in the provided information that suggest this is a rare disease. The brief summary and condition description do not mention anything about low prevalence, chronicity, or genetic origin, which are typical characteristics of rare diseases.",False
NCT06253221,A Study to Evaluate Mavacamten in Adolescents With Symptomatic Obstructive Hypertrophic Cardiomyopathy,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Hypertrophic cardiomyopathy (HCM) is a rare genetic disorder that affects the heart muscle, causing it to become abnormally thick. The condition is generally characterized by low prevalence, chronicity, and genetic origin, which aligns with the accepted criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Cardiomyopathy, Hypertrophic is the condition being studied, which is a rare genetic disorder.
- The trial is focusing on adolescent patients, which is a specific subpopulation of the rare disease.",True
NCT06170385,Pediatric Early Rehabilitation in Acute Lymphoblastic Leukemia,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The brief summary and detailed description indicate that the condition being studied, acute lymphoblastic leukemia (ALL), is the most common childhood cancer, representing approximately 25% of cancers in children. This suggests that the prevalence of the condition is well above the criteria for a rare disease, which is defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
The condition being studied, acute lymphoblastic leukemia, does not meet the criteria for a rare disease based on the information provided.",False
NCT06079372,Phase 3 Study of ALXN1850 in Pediatric Participants With HPP Previously Treated With Asfotase Alfa,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is hypophosphatasia (HPP), which is a rare genetic metabolic disorder. According to the information provided, HPP is generally characterized by low prevalence, chronicity, and genetic origin, which are the accepted criteria for a rare disease. Additionally, the trial is targeting a pediatric population (2 to < 12 years of age) with HPP, which further supports the rare disease classification.

## Confidence Level
High

## Rare Disease Indicators
- Condition: Hypophosphatasia (HPP)
- Low prevalence
- Chronic condition
- Genetic origin
- Pediatric population (2 to < 12 years of age)",True
NCT06221358,Pharmacogenomics of Stimulant Treatment Response,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
Attention-Deficit/Hyperactivity Disorder (ADHD) is a common neurodevelopmental disorder that affects a significant portion of the population, particularly children and adolescents. The information provided indicates that ADHD is a well-recognized condition, and the clinical trial is focused on understanding the pharmacogenomics of a commonly used treatment (methylphenidate) for this disorder.

The prevalence of ADHD in the United States is estimated to be around 5-11% of children and adolescents, which is significantly higher than the threshold of 200,000 people (or 1 in 2,000 people in Europe) used to define a rare disease.

## Confidence Level
High

## Rare Disease Indicators
This clinical trial does not meet the criteria for a rare disease, as ADHD is a common condition affecting a significant portion of the population.",False
NCT06287840,Canadian Bone Strength Development Study,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this trial is type-1 diabetes, which is not considered a rare disease. According to the information provided, type-1 diabetes is a common chronic condition that affects a significant number of people, not meeting the criteria for a rare disease in either the US or Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that this trial is targeting a rare disease.",False
NCT06065215,Early-life MRI Biomarkers of Longer-term Respiratory Morbidity in Infants Born Extremely Preterm (EMBLEM),"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is bronchopulmonary dysplasia (BPD), which is a common complication of premature birth. The brief summary indicates that BPD is a ""common, major complication of premature birth,"" suggesting that it is not a rare disease. Additionally, the trial plans to recruit 319 infants born less than 29 weeks gestation, which is a relatively large sample size and further indicates that the condition is not rare.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators that this is a rare disease trial based on the provided information. The condition being studied, BPD, is described as a common complication of premature birth.",False
NCT05828069,"A Study With Tovorafenib (DAY101) as a Treatment Option for Progressive, Relapsed, or Refractory Langerhans Cell Histiocytosis","## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Langerhans cell histiocytosis is a rare disease that meets the accepted criteria for a rare disease. According to the provided information, Langerhans cell histiocytosis is ""a type of disease that occurs when the body makes too many immature Langerhans cells (a type of white blood cell)."" The clinical trial specifically focuses on patients with ""relapsed and refractory Langerhans Cell Histiocytosis,"" indicating that this is a rare and difficult-to-treat condition.

## Confidence Level
High

## Rare Disease Indicators
- Langerhans cell histiocytosis is described as a ""type of disease"" rather than a common or widespread condition.
- The clinical trial is specifically targeted at patients with ""relapsed and refractory"" Langerhans cell histiocytosis, suggesting it is a rare and challenging-to-treat condition.
- The condition is characterized as ""more common in children and young adults,"" further indicating it is a rare disease.",True
NCT05939492,Mindfulness for Pediatric Chest Pain,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on idiopathic chest pain in pediatric patients, which is a relatively common condition. The summary does not provide any information indicating that the condition being studied affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe, which are the accepted criteria for a rare disease. Additionally, the condition is not described as being generally characterized by low prevalence, chronicity, and often genetic origin, which are typical features of rare diseases.

## Confidence Level
High

## Rare Disease Indicators
None",False
NCT06380283,The Feasibility and Clinical Utility of the Use of Virtual Reality for the Management of Pediatric Dental Anxiety,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is dental anxiety in children, which is not considered a rare disease. Dental anxiety is a common condition that affects a significant portion of the population, both children and adults. The trial does not mention any rare or genetic conditions that would meet the criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None. The condition of pediatric dental anxiety does not meet the criteria for a rare disease, as it is not characterized by low prevalence, chronicity, and genetic origin, and it is not affecting fewer than 200,000 people in the US or 1 in 2,000 people in Europe.",False
NCT06381570,Pilot Study of Vinblastine and Tovorafenib in Pediatric Patients With Recurrent/Progressive RAF Altered Low Grade Gliomas,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is targeting pediatric patients with recurrent or progressive low-grade gliomas (LGG), which are considered a rare disease. According to the provided information, low-grade gliomas are characterized by low prevalence, chronicity, and often genetic origin, which aligns with the general characteristics of rare diseases.

Additionally, the trial is specifically focused on patients with CRAF or BRAF alterations, including BRAF V600 mutations and KIAA1549:BRAF fusions, which further narrows the target population. These genetic alterations are likely to affect a relatively small number of individuals, as they are not commonly found in the general population.

## Confidence Level
High

## Rare Disease Indicators
- Targeting a specific type of low-grade glioma, a condition that is generally considered a rare disease
- Focus on patients with CRAF or BRAF alterations, which are likely to affect a small subset of the population
- Chronic and genetic nature of the condition, as indicated in the rare disease definition",True
NCT05286177,Does Volume-based Enteral Feeding Improve Nutrient Delivery in Hospitalized Critically Ill Children?,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided in the clinical trial details does not indicate that it is targeting a rare disease. The condition being studied is ""Enteral Feeding"", which is a common issue in critically ill children, and the trial is being conducted at a single center (Alberta Children's Hospital) without any mention of a rare or uncommon disease. Additionally, the prevalence data for rare diseases, as defined in the prompt, suggests that a condition affecting less than 200,000 people in the US or 1 in 2,000 people in Europe is considered rare, and the clinical trial details do not indicate that the target population falls within these criteria.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators in the provided information that this is a clinical trial for a rare disease.",False
NCT06634264,"Comparison of Two Reeducation Methods in Children With Persistent Sleep Apnea, a Randomized Controlled Trial","## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on pediatric obstructive sleep apnea (PedOSA), which is a relatively common condition. According to the information provided, PedOSA is a ""multifactorial condition, associated with significant comorbidities, affecting cardiovascular health, cognitive development and quality of life."" Additionally, the condition is stated to be ""usually performed after adenotonsillectomy,"" suggesting it is a well-recognized and commonly treated condition.

The criteria for a rare disease, as provided, include affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe, and being generally characterized by low prevalence, chronicity, and often genetic origin. The information given about PedOSA does not indicate that it meets these criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
There are no specific indicators in the provided information that this is a clinical trial for a rare disease.",False
NCT05514665,Functional Imaging of Baby Brains,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided indicates that the condition being studied, perinatal hypoxic-ischemic brain injury, is a relatively common condition affecting newborn infants. The detailed description mentions that this condition is a ""major cause of childhood disabilities"" and that ""prognostic tools"" are needed to identify infants at risk of developing neurological deficits. This suggests that the condition is not considered a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None provided. The condition does not meet the criteria for a rare disease, which is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.",False
NCT05835310,An Efficacy and Safety Study of Intravenous Anifrolumab to Treat Systemic Lupus Erythematosus in Pediatric Participants,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
Systemic lupus erythematosus (SLE) is a chronic autoimmune disease that affects a larger population. According to the information provided, SLE is the condition being studied in this clinical trial. SLE is not considered a rare disease, as it is estimated to affect around 1.5 million people in the United States, which is significantly higher than the threshold of 200,000 people for a rare disease in the US.

## Confidence Level
High

## Rare Disease Indicators
There are no specific indicators in the provided information that suggest this is a rare disease trial. The condition being studied, SLE, is a relatively common autoimmune disorder.",False
NCT05509777,A Study of Mirikizumab (LY3074828) in Pediatric Participants With Crohn's Disease,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
Crohn's disease, the condition being studied in this clinical trial, is not considered a rare disease. According to the information provided, Crohn's disease is a common chronic condition, and the trial is being conducted in pediatric patients with this disease. The criteria for a rare disease, as defined in the US and Europe, are that the condition affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. Crohn's disease is a much more prevalent condition and does not meet these criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None",False
NCT05967871,Pilot Feasibility Study of Fecal Microbiota Transplant for the Treatment of Small Intestinal Bacterial Overgrowth,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is for the treatment of small intestinal bacterial overgrowth (SIBO), which is not considered a rare disease. According to the information provided, SIBO is a condition that may affect patients with short bowel syndrome, which involves intestinal resection, dysmotility, and altered enteral feeding. The trial specifically targets pediatric patients with SIBO, which suggests a broader population affected by this condition.

## Confidence Level
High

## Rare Disease Indicators
The information provided does not indicate that SIBO meets the criteria for a rare disease, as defined in the question. The prevalence of SIBO is not specified, and there is no evidence that it affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. Additionally, while SIBO may have a genetic component in some cases, the information suggests it is more broadly characterized by intestinal resection, dysmotility, and altered enteral feeding, which are not necessarily genetic in origin.",False
NCT06216899,Reverse-Engineering of Exclusive Enteral Nutrition (RE-EEN) in Crohn's Disease: A Multi-Center Trial,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
Crohn's disease, the condition being studied in this trial, is not considered a rare disease. According to the information provided, Crohn's disease is a chronic, inflammatory bowel disease, which is generally characterized by a higher prevalence than the criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that this trial is targeting a rare disease.",False
NCT06314802,Learning Curve of the Shouldice Procedure,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is evaluating the learning curve and outcomes of the Shouldice procedure, which is a widely used surgical technique for the repair of primary inguinal hernias. Inguinal hernias are a common condition, affecting around 27 per 1,000 men and 3 per 1,000 women in the United States. Therefore, the target condition of this trial does not meet the criteria for a rare disease, which is typically defined as affecting fewer than 200,000 people in the United States or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided indicates that inguinal hernias, the target condition of this clinical trial, are a common condition and do not meet the criteria for a rare disease.",False
NCT06031259,Extension Study of Idursulfase-IT Along With Elaprase in Children and Adults With Hunter Syndrome and Cognitive Impairment,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
According to the provided information, the clinical trial is for Hunter syndrome, which is a rare genetic disorder. The brief summary states that the study is focused on children and adults with Hunter syndrome and cognitive impairment. Additionally, the study aims to enroll up to approximately 8 patients, which is well below the thresholds for a rare disease in the US (fewer than 200,000 people) and Europe (no more than 1 in 2,000 people).

## Confidence Level
High

## Rare Disease Indicators
1. The condition being studied, Hunter syndrome, is a rare genetic disorder.
2. The study is expected to enroll a small number of participants (up to approximately 8 patients), which is characteristic of a rare disease clinical trial.",True
NCT06087224,The TELENEO Trial: a Multicenter Trial of Telemedicine for Advanced Neonatal Resuscitations in Community Hospitals,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided does not indicate that the condition being studied (death, neonatal morbidity, and newborn conditions) affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe, which are the accepted criteria for a rare disease. The study appears to be focused on neonatal care and outcomes, which are relatively common conditions. Additionally, the detailed description suggests this is a multicenter trial, indicating the condition is not considered rare.

## Confidence Level
High

## Rare Disease Indicators
This trial does not appear to have any indicators of a rare disease based on the provided information.",False
NCT05789901,The MARVIN Chatbots to Provide Information for Different Health Conditions,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided does not indicate that the conditions being studied (HIV infections, breast cancer, and pediatric emergency medicine) are rare diseases. Breast cancer and HIV infections are both relatively common conditions, and while pediatric emergency medicine may involve some rare conditions, the overall scope of the trial is not focused on a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None provided. The conditions mentioned do not meet the criteria for a rare disease, which is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.",False
NCT06241118,A Study to Evaluate the Efficacy and Safety of Subcutaneous Amlitelimab on Background Topical Corticosteroids Therapy in Participants Aged 12 Years and Older With Moderate-to-severe AD Who Have Had an Inadequate Response to Prior Biologic Therapy or an Oral JAK Inhibitor,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided indicates that the clinical trial is for the treatment of moderate-to-severe atopic dermatitis (AD) in participants aged 12 years and older. Atopic dermatitis is a common skin condition, with a prevalence of up to 20% in children and 10% in adults in developed countries. This does not meet the criteria for a rare disease, which is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not suggest that this is a rare disease clinical trial.",False
NCT06343779,Study of Oral Deucrictibant Soft Capsule for On-Demand Treatment of Angioedema Attacks in Adolescents and Adults With Hereditary Angioedema,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is for the treatment of hereditary angioedema (HAE), which is a rare genetic disorder that affects fewer than 200,000 people in the United States, meeting the criteria for a rare disease. HAE is characterized by recurrent episodes of severe swelling (angioedema) in various parts of the body, and it is a chronic and often genetic condition, further confirming its status as a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Affects fewer than 200,000 people in the US, meeting the US definition of a rare disease.
- Hereditary and genetic in origin, which is a characteristic of rare diseases.
- Chronic condition, which is also a characteristic of rare diseases.",True
NCT04235335,Healing Circles: An Intervention for Canadian Indigenous Mothers & Children Affected by IPV,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The given information indicates that the clinical trial is focused on evaluating interventions for Indigenous mothers and children affected by intimate partner violence (IPV) in Canada. IPV is a relatively common public health issue, and is not considered a rare disease.

The prevalence of IPV in Canada is estimated to be around 4-7% of the population, which is significantly higher than the criteria for a rare disease (affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe).

## Confidence Level
High

## Rare Disease Indicators
This clinical trial does not meet the criteria for a rare disease, as it is focused on a condition (IPV) that is not considered rare.",False
NCT06030063,The Society for Obstetric Anesthesia and Perinatology Research Network General Anesthesia Registry,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being investigated in this clinical trial is cesarean delivery under general anesthesia, which is not considered a rare disease. Cesarean deliveries are a common procedure, and general anesthesia is a widely used anesthetic technique for these surgeries. The study aims to investigate the factors associated with the use of general anesthesia for cesarean deliveries, which is a relatively common clinical scenario.

## Confidence Level
High

## Rare Disease Indicators
None. The condition being studied does not meet the criteria for a rare disease, which typically affect fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe, and are generally characterized by low prevalence, chronicity, and often genetic origin.",False
NCT05933057,"Efficacy, Safety and Tolerability of Givinostat in Non-ambulant Patients With Duchenne Muscular Dystrophy","## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Duchenne muscular dystrophy (DMD), the condition being studied in this clinical trial, is a rare genetic disorder that affects approximately 1 in 3,500 to 5,000 male births globally. This falls well within the definition of a rare disease, which is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
- Duchenne muscular dystrophy is a rare, progressive, debilitating, and life-threatening genetic condition.
- The trial is specifically targeting non-ambulant patients with DMD, which represents a subset of the already rare DMD patient population.
- The trial is aiming to enroll a total of 138 patients, which is a relatively small sample size, further indicating the rarity of the condition.",True
NCT06075251,Online Support 4 CHD Kids & Caregivers,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is Congenital Heart Disease (CHD), which is not considered a rare disease. According to the information provided, CHD is a chronic condition that is generally characterized by low prevalence. However, it does not meet the accepted criteria for a rare disease, which is defined as affecting fewer than 200,000 people in the United States or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The condition, Congenital Heart Disease, does not meet the criteria for a rare disease.",False
NCT06651944,Invisalign® System with Mandibular Advancement,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The conditions described in the clinical trial (Class II Malocclusion, Mandibular Advancement, Mandibular Retrognathism, Excessive Overjet) are not considered rare diseases based on the provided criteria. These conditions are relatively common dental and orthodontic issues, and they do not meet the definition of a rare disease affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The conditions described in the clinical trial are not considered rare diseases.",False
NCT06033196,Tocilizumab in Lung Transplantation,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided indicates that the clinical trial is targeting lung transplant recipients, which is not considered a rare disease. Lung transplants are performed for various conditions, including chronic obstructive pulmonary disease (COPD), cystic fibrosis, and idiopathic pulmonary fibrosis, which are not rare diseases. The brief summary mentions that the trial will enroll 350 primary lung transplant recipients, which is a much larger sample size than what is typically associated with rare diseases.

## Confidence Level
High

## Rare Disease Indicators
None. The condition being studied (lung transplantation) does not meet the criteria for a rare disease, as it is not characterized by low prevalence, chronicity, and often genetic origin, and it affects more than 200,000 people in the US.",False
NCT06506474,"Low-value Care, and Variation in Practice for Children Hospitalized with Bronchiolitis","## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The provided information indicates that the clinical trial is focused on the use of low-value healthcare services in children hospitalized with bronchiolitis, which is a common respiratory illness in young children. Bronchiolitis is not considered a rare disease based on the criteria provided:

- In the United States, bronchiolitis is estimated to affect more than 200,000 children annually, exceeding the threshold of 200,000 people for a rare disease.
- In Europe, bronchiolitis is a common condition that affects up to 1 in 50 children under the age of 1 year, which is well within the limit of 1 in 2,000 people for a rare disease.
- Bronchiolitis is generally characterized by a high prevalence, acute nature, and non-genetic origin, which are not typical characteristics of rare diseases.

## Confidence Level
High

## Rare Disease Indicators
Not applicable, as this is not a clinical trial for a rare disease.",False
NCT06721923,Continuous Vs Bolus Protein (Protein Regimen Outcomes) in Critically Ill Children (Kids in Distress),"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided does not indicate that the condition being studied (critical illness, pediatric intensive care, enteral nutrition therapy, dietary protein) is a rare disease. The target population is critically ill children aged 1-11 years, which does not meet the criteria for a rare disease defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. The information given suggests that the condition is more common and not considered a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None provided in the given information.",False
NCT06150820,A Study About Antibody Levels and Biomarkers in the Blood in People With Late-onset Pompe Disease,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided indicates that the condition being studied is Pompe disease, which is a genetic condition that causes muscle weakness over time. According to the brief summary, Pompe disease is a rare disease that can happen at any age, and the late-onset form, which is the focus of this study, generally starts from 12 months old onwards.

The definition of a rare disease in the US is a condition that affects fewer than 200,000 people, and in Europe, a condition that affects no more than 1 in 2,000 people. The information provided suggests that Pompe disease, including the late-onset form, meets these criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Pompe disease is a genetic condition, which is a characteristic of rare diseases.
- The late-onset form of Pompe disease, which is the focus of this study, generally starts from 12 months old onwards, indicating a low prevalence.
- The brief summary states that Pompe disease can happen at any age, further suggesting a low prevalence.",True
NCT06239519,JoyPop Mobile Mental Health App With Youth,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided indicates that the clinical trial is focused on evaluating a mobile mental health app (JoyPop) for youth aged 12-17 in Canada, particularly in the Northwestern Ontario region. The conditions being targeted include emotion regulation, depression, anxiety, and stress, which are relatively common mental health challenges in this age group. The prevalence of these conditions is not specified, but they are not typically considered rare diseases. The trial is aimed at improving access to mental health support for a broader population of youth, rather than a specific rare disease population.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators that this is a rare disease trial based on the information provided. The target population and conditions do not fit the typical definition of a rare disease, which is characterized by low prevalence, chronicity, and often genetic origin.",False
NCT06261424,Effects of a Supervised Rehabilitation Program on Disease Severity in Spastic Ataxias,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is investigating treatments for two specific conditions: Autosomal Recessive Spastic Ataxia of Charlevoix-Saguenay (ARSACS) and Spastic Paraplegia 7 (SPG7). Both of these are considered rare diseases based on the provided criteria:

- ARSACS is an extremely rare genetic disorder, with an estimated prevalence of less than 1 in 100,000 people.
- SPG7 is also a rare genetic disorder, with an estimated prevalence of 1-9 per 100,000 people.

Both of these conditions fall well below the threshold of 200,000 people in the US or 1 in 2,000 people in Europe, which are the accepted criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Low prevalence (less than 1 in 100,000 for ARSACS and 1-9 per 100,000 for SPG7)
- Genetic origin
- Chronicity (lifelong, progressive conditions)",True
NCT06282133,Behavioural Experiments for Generalized Anxiety in Adolescents - Pilot Study,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The provided information indicates that the condition being studied, Generalized Anxiety Disorder (GAD), is not considered a rare disease. The brief summary states that in Canada, 3 to 4% of the population (between 0.9% and 2.7% among adolescents) suffers from GAD at any given time in their lives. This prevalence rate is significantly higher than the criteria for a rare disease, which is defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
There are no specific indicators that this is a rare disease trial. The prevalence of GAD in the population clearly exceeds the criteria for a rare disease.",False
NCT06019078,"pEEG Monitoring Effect on Delirium, Ventilator Days, and PICS","## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The provided information indicates that the clinical trial is focused on studying the impact of using a processed electroencephalography (pEEG) monitor to guide sedation and analgesia management in ventilated patients in the intensive care unit (ICU). The conditions being studied, such as critical illness, post-intensive care unit syndrome, delirium, and sedative-related disorders, are common and not considered rare diseases.

## Confidence Level
High

## Rare Disease Indicators
None of the information provided suggests this is a rare disease trial. The conditions described are generally characterized as common, rather than rare, based on the accepted criteria for rare diseases.",False
NCT01344200,CELECOXIB Plasma and Cerebral Spinal Fluid Pharmacokinetics in Children,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided in the clinical trial details does not indicate that the condition being studied, ""Pharmacokinetics of Celecoxib in Children"", is a rare disease. The trial is focused on understanding the pharmacokinetics (absorption, distribution, metabolism, and elimination) of the drug celecoxib in children, which is a common medication used for pain management. The trial is not targeting a specific rare disease, but rather investigating the appropriate dosing of a widely used drug in the pediatric population.

## Confidence Level
High

## Rare Disease Indicators
There are no specific indicators in the provided information that this is a rare disease trial. The condition being studied is a common one, and the trial is not focused on a rare disease population.",False
NCT06143891,"A Study to Test an Oral Medicine, Belumosudil, in Combination With Corticosteroids in Participants at Least 12 Years of Age With Newly Diagnosed Chronic Graft Versus Host Disease.","## Classification
Yes, this appears to be a clinical trial for a rare disease.

## Reasoning
Chronic graft-versus-host disease (cGVHD) is a rare complication of hematopoietic stem cell transplantation, affecting approximately 14% of allogeneic transplant recipients. The incidence of cGVHD is estimated to be around 30,000-40,000 cases per year in the United States, which is well below the 200,000 threshold for a rare disease in the US.

## Confidence Level
High

## Rare Disease Indicators
- Chronic, debilitating condition
- Low prevalence (affecting fewer than 200,000 people in the US)
- Genetic origin (related to hematopoietic stem cell transplantation)",False
NCT06156865,Using Neuroimaging and Behavioral Assessments to Understand Late Talking,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided indicates that the condition being studied, Developmental Language Disorder (DLD) and late talking, affects 10-20% of children under 3 years of age. This prevalence rate falls well above the criteria for a rare disease, which is defined as affecting fewer than 200,000 people in the United States or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The prevalence of the condition being studied does not meet the criteria for a rare disease.",False
NCT06163326,A 52-Week Study to Learn About the Safety and Effects of Ritlecitinib in Participants With Nonsegmental Vitiligo,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is investigating the use of ritlecitinib for the treatment of non-segmental vitiligo, which is an autoimmune disorder characterized by well-defined pale white patches of skin. Vitiligo is not considered a rare disease, as it is estimated to affect 0.5-2% of the global population, which is significantly higher than the criteria for a rare disease in the US (affecting fewer than 200,000 people) and Europe (affecting no more than 1 in 2,000 people).

## Confidence Level
High

## Rare Disease Indicators
None. Vitiligo does not meet the criteria for a rare disease.",False
NCT05546359,Study of Intravenous Amisulpride for Prophylaxis of Post-operative Nausea and Vomiting (PONV) in Pediatric Patients,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided indicates that the condition being studied is post-operative nausea and vomiting (PONV) in pediatric patients. PONV is a common condition that affects a significant portion of the population undergoing surgery, and is not considered a rare disease. The condition is not characterized by low prevalence, chronicity, or genetic origin, which are typical indicators of a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that this trial is for a rare disease.",False
NCT06224348,A Study to Evaluate the Efficacy and Safety of Subcutaneous Amlitelimab in Participants Aged 12 Years and Older With Moderate-to-severe Atopic Dermatitis on Background Topical Corticosteroids,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is atopic dermatitis, which is a common skin condition. According to the information provided, atopic dermatitis is a ""moderate-to-severe"" condition, but it does not meet the criteria for a rare disease. The rare disease definition states that a rare disease typically affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. Atopic dermatitis is a much more prevalent condition.

## Confidence Level
High

## Rare Disease Indicators
None of the provided information suggests this is a rare disease clinical trial. The condition, atopic dermatitis, is a common skin condition and does not meet the criteria for a rare disease.",False
